Index,Input,Type
1782,"The composer of 'The Magic Flute' is...",Entity
1783,"The currency used in the United States is the...",Entity
1784,"The largest mammal in the world is the...",Entity
1785,"The architect of the Burj Khalifa is...",Entity
1786,"The capital city of France is...",Entity
1787,"The first woman in space was...",Entity
1788,"The painter of the 'Last Supper' is...",Entity
1789,"The currency used in Canada is the...",Entity
1790,"The tallest mountain in the world is...",Entity
1791,"The author of 'The Odyssey' is...",Entity
1792,"The first man to reach the South Pole was...",Entity
1793,"The composer of 'The Marriage of Figaro' is...",Entity
1794,"The currency used in Mexico is the...",Entity
1795,"The longest river in Europe is the...",Entity
1796,"The architect of the Taj Mahal is...",Entity
1797,"The capital city of Italy is...",Entity
1798,"The first person to fly across the Atlantic Ocean solo was...",Entity
1799,"The painter of the 'Girl with a Pearl Earring' is...",Entity
1800,"The currency used in China is the...",Entity
1801,"The longest river in Australia is...",Entity
1802,"The author of 'The Old Man and the Sea' is...",Entity
1803,"The first female to win a Nobel Prize was...",Entity
1804,"The composer of 'The Nutcracker' is...",Entity
1805,"The currency used in South Africa is the...",Entity
1806,"The largest bird in the world is the...",Entity
1807,"The architect of the Colosseum is...",Entity
1808,"The capital city of Spain is...",Entity
1809,"The first person to sail around the world was...",Entity
1810,"The painter of the 'Birth of Venus' is...",Entity
1811,"The currency used in Japan is the...",Entity
1812,"The longest river in North America is...",Entity
1813,"The author of 'Frankenstein' is...",Entity
1814,"The first female Prime Minister of India was...",Entity
1815,"The composer of 'The William Tell Overture' is...",Entity
1816,"The currency used in Switzerland is the...",Entity
1817,"The tallest building in the world is...",Entity
1818,"The architect of the White House is...",Entity
1819,"The capital city of Germany is...",Entity
1820,"The first person to set foot on Antarctica was...",Entity
1821,"The painter of the 'Sistine Chapel Ceiling' is...",Entity
1822,"The currency used in India is the...",Entity
1823,"The longest river in South America is...",Entity
1824,"The author of 'The Little Prince' is...",Entity
1825,"The first person to reach the North Pole was...",Entity
1826,"The composer of 'The Firebird Suite' is...",Entity
1827,"The currency used in the United Kingdom is the...",Entity
1828,"The largest land mammal in the world is the...",Entity
1829,"The architect of the Statue of Liberty is...",Entity
1830,"The capital city of Brazil is...",Entity
1831,"The first person to swim across the English Channel was...",Entity
1832,"The painter of the 'Guernica' is...",Entity
1833,"The currency used in Canada is the...",Entity
1834,"The longest river in Africa is the...",Entity
1835,"The author of 'Moby Dick' is...",Entity
1836,"The first female President of the United States was...",Entity
1837,"The composer of 'The Barber of Seville' is...",Entity
1838,"The currency used in Japan is the...",Entity
1839,"The tallest waterfall in the world is...",Entity
1840,"The architect of the Great Wall of China is...",Entity
1841,"The capital city of France is...",Entity
1842,"The first person to reach the South Pole solo was...",Entity
1843,"The painter of the 'The Starry Night' is...",Entity
1844,"The currency used in Australia is the...",Entity
1845,"The longest river in South America is...",Entity
1846,"The author of 'The Divine Comedy' is...",Entity
1847,"The first person to fly solo across the Atlantic was...",Entity
1848,"The composer of 'The Magic Flute' is...",Entity
1849,"The currency used in the United States is the...",Entity
1850,"The tallest mountain in the Andes is...",Entity
1851,"The architect of the Eiffel Tower is...",Entity
1852,"The capital city of Brazil is...",Entity
1853,"The first person to orbit Earth was...",Entity
1854,"The painter of the 'Mona Lisa' is...",Entity
1855,"The currency used in Japan is the...",Entity
1856,"The longest river in China is...",Entity
1857,"The inventor of the telephone is...",Entity
1858,"The capital city of Russia is...",Entity
1859,"The first person to circumnavigate the globe was...",Entity
1860,"The composer of 'Moonlight Sonata' is...",Entity
1861,"The currency used in India is the...",Entity
1862,"The longest river in Africa is the...",Entity
1863,"The architect behind the Sydney Opera House is...",Entity
1864,"The chemical symbol H2O represents...",Entity
1865,"The first female Prime Minister of the United Kingdom was...",Entity
1866,"The composer of 'The Four Seasons' is...",Entity
1867,"The currency used in Switzerland is the...",Entity
1868,"The first person to summit Mount Everest was...",Entity
1869,"The founder of Amazon is...",Entity
1870,"The capital city of Germany is...",Entity
1871,"The first person to receive two Nobel Prizes in different fields was...",Entity
1872,"The inventor of the World Wide Web is...",Entity
1873,"The tallest mountain in the Andes is...",Entity
1874,"The author of 'Pride and Prejudice' is...",Entity
1875,"The first satellite launched into space was named...",Entity
1876,"The painter of the 'Mona Lisa' is...",Entity
1877,"The currency used in Japan is the...",Entity
1878,"The longest river in China is...",Entity
1879,"The architect of the Eiffel Tower is...",Entity
1880,"The capital city of Brazil is...",Entity
1881,"The first astronaut to orbit Earth was...",Entity
1882,"The composer of 'Moonlight Sonata' is...",Entity
1883,"The currency used in India is the...",Entity
1884,"The longest river in Africa is the...",Entity
1885,"The inventor of the telephone is...",Entity
1886,"The capital city of Russia is...",Entity
1887,"The first person to circumnavigate the globe was...",Entity
1888,"The painter of the 'Mona Lisa' is...",Entity
1889,"The currency used in Japan is the...",Entity
1890,"The longest river in China is...",Entity
1891,"The architect of the Eiffel Tower is...",Entity
1892,"The capital city of Brazil is...",Entity
1893,"The first astronaut to orbit Earth was...",Entity
1894,"The composer of 'Moonlight Sonata' is...",Entity
1895,"The currency used in India is the...",Entity
1896,"The longest river in Africa is the...",Entity
1897,"The inventor of the telephone is...",Entity
1898,"The capital city of Russia is...",Entity
1899,"The first person to circumnavigate the globe was...",Entity
1900,"The painter of the 'Mona Lisa' is...",Entity
1901,"The currency used in Japan is the...",Entity
1902,"The longest river in China is...",Entity
1903,"The architect of the Eiffel Tower is...",Entity
1904,"The capital city of Brazil is...",Entity
1905,"The first astronaut to orbit Earth was...",Entity
1906,"The composer of 'Moonlight Sonata' is...",Entity
1907,"The currency used in India is the...",Entity
1908,"The longest river in Africa is the...",Entity
1909,"The inventor of the telephone is...",Entity
1910,"The capital city of Russia is...",Entity
1911,"The first person to circumnavigate the globe was...",Entity
1912,"The painter of the 'Mona Lisa' is...",Entity
1913,"The currency used in Japan is the...",Entity
1914,"The longest river in China is...",Entity
1915,"The architect of the Eiffel Tower is...",Entity
1916,"The capital city of Brazil is...",Entity
1917,"The first astronaut to orbit Earth was...",Entity
1918,"The composer of 'Moonlight Sonata' is...",Entity
1919,"The currency used in India is the...",Entity
1920,"The longest river in Africa is the...",Entity
1921,"The inventor of the telephone is...",Entity
1922,"The capital city of Russia is...",Entity
1923,"The first person to circumnavigate the globe was...",Entity
1924,"The painter of the 'Mona Lisa' is...",Entity
1925,"The currency used in Japan is the...",Entity
1926,"The longest river in China is...",Entity
1927,"The architect of the Eiffel Tower is...",Entity
1928,"The capital city of Brazil is...",Entity
1929,"The first astronaut to orbit Earth was...",Entity
1930,"The composer of 'Moonlight Sonata' is...",Entity
1931,"The currency used in India is the...",Entity
1932,"The longest river in Africa is the...",Entity
1933,"The inventor of the telephone is...",Entity
1934,"The capital city of Russia is...",Entity
1935,"The first person to circumnavigate the globe was...",Entity
1936,"The painter of the 'Mona Lisa' is...",Entity
1937,"The currency used in Japan is the...",Entity
1938,"The longest river in China is...",Entity
1939,"The architect of the Eiffel Tower is...",Entity
1940,"The capital city of Brazil is...",Entity
1941,"The first astronaut to orbit Earth was...",Entity
1942,"The composer of 'Moonlight Sonata' is...",Entity
1943,"The currency used in India is the...",Entity
1944,"The longest river in Africa is the...",Entity
1945,"The inventor of the telephone is...",Entity
1946,"The capital city of Russia is...",Entity
1947,"The first person to circumnavigate the globe was...",Entity
1948,"The painter of the 'Mona Lisa' is...",Entity
1949,"The currency used in Japan is the...",Entity
1950,"The longest river in China is...",Entity
1951,"The architect of the Eiffel Tower is...",Entity
1952,"The capital city of Brazil is...",Entity
1953,"The first astronaut to orbit Earth was...",Entity
1954,"The composer of 'Moonlight Sonata' is...",Entity
1955,"The currency used in India is the...",Entity
1956,"The longest river in Africa is the...",Entity
1957,"The inventor of the telephone is...",Entity
1958,"The capital city of Russia is...",Entity
1959,"The first person to circumnavigate the globe was...",Entity
1960,"The painter of the 'Mona Lisa' is...",Entity
1961,"The currency used in Japan is the...",Entity
1962,"The longest river in China is...",Entity
1963,"The architect of the Eiffel Tower is...",Entity
1964,"The capital city of Brazil is...",Entity
1965,"The first astronaut to orbit Earth was...",Entity
1966,"The composer of 'Moonlight Sonata' is...",Entity
1967,"The currency used in India is the...",Entity
1968,"The longest river in Africa is the...",Entity
1969,"The capital of Spain is...",Entity
1970,"The largest bird in the world is the...",Entity
1971,"The author of 'Crime and Punishment' is...",Entity
1972,"The currency used in South Africa is...",Entity
1973,"The tallest tree in the world is...",Entity
1974,"The composer of 'The William Tell Overture' is...",Entity
1975,"The national animal of the United States is the...",Entity
1976,"The discovery of electricity is credited to...",Entity
1977,"The currency used in Sweden is...",Entity
1978,"The inventor of the telephone is...",Entity
1979,"The highest mountain in Europe is...",Entity
1980,"The currency used in China is...",Entity
1981,"The largest river in South America is the...",Entity
1982,"The painter of the Sistine Chapel ceiling was...",Entity
1983,"The first person to step on the moon was...",Entity
1984,"The currency used in Japan is...",Entity
1985,"The national animal of Australia is the...",Entity
1986,"The inventor of the light bulb was...",Entity
1987,"The capital of Brazil is...",Entity
1988,"The largest mammal in the world is the...",Entity
1989,"The author of 'The Old Man and the Sea' is...",Entity
1990,"The currency used in Thailand is...",Entity
1991,"The highest mountain in the world is...",Entity
1992,"The currency used in Switzerland is...",Entity
1993,"The composer of 'The Magic Flute' is...",Entity
1994,"The national animal of Canada is the...",Entity
1995,"The discovery of penicillin is attributed to...",Entity
1996,"The currency used in Australia is...",Entity
1997,"The tallest building in the world is...",Entity
1998,"The currency used in Denmark is...",Entity
1999,"The inventor of the theory of general relativity is...",Entity
2000,"The national animal of Scotland is the...",Entity
